,Stegen_ICR_5_pp1_Nov20_1_01_24960,Stegen_ICR_6_pp2_Nov20_1_01_24949,Stegen_ICR_7_pp1_Nov20_1_01_24969,Stegen_ICR_7_pp2_Nov20_1_01_24970,Stegen_ICR_7_pp3_Nov20_1_01_24952,Stegen_ICR_8_pp1_Nov20_1_01_24966,Stegen_ICR_8_pp2_Nov20_1_01_24959,Stegen_ICR_9_pp1_Nov20_1_01_24951,Stegen_ICR_9_pp2_Nov20_1_01_24946,Stegen_ICR_9_pp3_Nov20_1_01_24955,Stegen_ICR_10_pp2_Nov20_1_01_24965,Stegen_River_at_ICR2p1_Nov20_1_01_24962,Stegen_River_at_ICR2p2_Nov20_1_01_24968,Stegen_River_at_ICR3_Nov20_1_01_24971,Stegen_River_at_ICR6_Nov20_1_01_24958,Stegen_River_at_ICR7_Nov20_1_01_24945,Stegen_River_at_ICR8_Nov20_1_01_24957,Stegen_River_at_ICR9_Nov20_1_01_24956,Stegen_ICR_1_pp1_Nov20_1_01_24967,Stegen_ICR_2_pp1_Nov20_1_01_24953,Stegen_ICR_3_pp1_Nov20_1_01_24944,Stegen_ICR_4_pp1_Nov20_1_01_24961
Stegen_ICR_5_pp1_Nov20_1_01_24960,0,-0.11,-1,-1,-1,-1,-1,-1,-1,0.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Stegen_ICR_6_pp2_Nov20_1_01_24949,-0.11,0,-1,-1,-1,-1,-1,-1,-1,-0.24,-1,-0.77,-0.85,-0.93,-1,-0.37,-1,-0.96,1,-0.96,1,-1
Stegen_ICR_7_pp1_Nov20_1_01_24969,-1,-1,0,-1,-1,-1,-1,-1,-1,-0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.91,-1
Stegen_ICR_7_pp2_Nov20_1_01_24970,-1,-1,-1,0,-1,-1,-1,-1,-1,-0.83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.9,-1
Stegen_ICR_7_pp3_Nov20_1_01_24952,-1,-1,-1,-1,0,-1,-1,-1,-1,-0.78,-1,-1,-1,-1,-1,-1,-1,-1,-0.85,-1,-0.96,-1
Stegen_ICR_8_pp1_Nov20_1_01_24966,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.99,-1,-0.92,-1
Stegen_ICR_8_pp2_Nov20_1_01_24959,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.98,-1,-0.77,-1
Stegen_ICR_9_pp1_Nov20_1_01_24951,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.99,-1,-1,-1
Stegen_ICR_9_pp2_Nov20_1_01_24946,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Stegen_ICR_9_pp3_Nov20_1_01_24955,0.31,-0.24,-0.99,-0.83,-0.78,-1,-1,-1,-1,0,-1,-0.63,-0.5,0.22,-1,0.01,-1,-1,1,-0.58,1,-0.92
Stegen_ICR_10_pp2_Nov20_1_01_24965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0.47,-1,-0.37,-1
Stegen_River_at_ICR2p1_Nov20_1_01_24962,-1,-0.77,-1,-1,-1,-1,-1,-1,-1,-0.63,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Stegen_River_at_ICR2p2_Nov20_1_01_24968,-1,-0.85,-1,-1,-1,-1,-1,-1,-1,-0.5,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Stegen_River_at_ICR3_Nov20_1_01_24971,-1,-0.93,-1,-1,-1,-1,-1,-1,-1,0.22,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
Stegen_River_at_ICR6_Nov20_1_01_24958,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1
Stegen_River_at_ICR7_Nov20_1_01_24945,-1,-0.37,-1,-1,-1,-1,-1,-1,-1,0.01,-1,-1,-1,-1,-1,0,-1,-1,-0.98,-1,-1,-1
Stegen_River_at_ICR8_Nov20_1_01_24957,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1
Stegen_River_at_ICR9_Nov20_1_01_24956,-1,-0.96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.21,-1,-0.02,-1
Stegen_ICR_1_pp1_Nov20_1_01_24967,-1,1,-1,-1,-0.85,-0.99,-0.98,-0.99,-1,1,0.47,-1,-1,-1,-1,-0.98,-1,0.21,0,-1,0.93,-1
Stegen_ICR_2_pp1_Nov20_1_01_24953,-1,-0.96,-1,-1,-1,-1,-1,-1,-1,-0.58,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
Stegen_ICR_3_pp1_Nov20_1_01_24944,-1,1,-0.91,-0.9,-0.96,-0.92,-0.77,-1,-1,1,-0.37,-1,-1,-1,-1,-1,-1,-0.02,0.93,-1,0,-1
Stegen_ICR_4_pp1_Nov20_1_01_24961,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
